Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,24.879999,24.980000,24.660000,24.969999,24.588026,35000
2018-07-13,24.969999,25.290001,24.920000,25.020000,24.637260,55700
2018-07-16,25.049999,25.129999,24.809999,24.920000,24.538794,49000
2018-07-17,24.920000,25.000000,24.809999,24.950001,24.568333,58300
2018-07-18,24.959999,25.000000,24.530001,24.780001,24.400934,48800
2018-07-19,24.780001,24.860001,24.590000,24.750000,24.371393,49400
2018-07-20,24.700001,24.990000,24.700001,24.730000,24.351698,78100
2018-07-23,24.730000,24.959999,24.730000,24.920000,24.538794,49100
2018-07-24,24.900000,24.950001,24.719999,24.809999,24.430475,43200
2018-07-25,24.799999,24.940001,24.379999,24.540001,24.164606,44900
2018-07-26,24.570000,24.730000,24.299999,24.629999,24.253225,65700
2018-07-27,24.719999,24.799999,24.299999,24.320000,23.947969,50300
2018-07-30,24.250000,24.600000,24.020000,24.090000,23.721489,72900
2018-07-31,24.090000,25.049999,24.090000,24.990000,24.607721,143700
2018-08-01,23.639999,24.340000,22.160000,23.920000,23.554089,191900
2018-08-02,23.770000,24.080000,23.290001,23.709999,23.347300,123900
2018-08-03,23.780001,23.850000,23.340000,23.490000,23.130667,116000
2018-08-06,23.639999,24.330000,23.590000,24.250000,23.879042,86600
2018-08-07,24.250000,24.469999,24.020000,24.280001,23.908583,73400
2018-08-08,24.160000,24.299999,23.959999,23.990000,23.623016,89700
2018-08-09,24.030001,24.190001,23.600000,23.639999,23.278372,65500
2018-08-10,23.480000,23.780001,23.430000,23.540001,23.179903,28200
2018-08-13,23.320000,23.559999,23.090000,23.250000,22.967512,108200
2018-08-14,23.180000,23.350000,22.930000,23.020000,22.740309,72200
2018-08-15,22.930000,23.270000,22.889999,23.150000,22.868729,77100
2018-08-16,23.230000,23.670000,23.230000,23.500000,23.214476,84300
2018-08-17,23.450001,23.639999,23.309999,23.400000,23.115692,58900
2018-08-20,23.379999,23.610001,22.990000,23.549999,23.263868,79600
2018-08-21,23.790001,24.070000,23.670000,23.969999,23.678764,77700
2018-08-22,23.900000,24.090000,23.350000,23.379999,23.095934,120100
